
[34m[1mwandb[39m[22m: [33mWARNING[39m The save_model argument by default saves the model in the HDF5 format that cannot save custom objects like subclassed models and custom layers. This behavior will be deprecated in a future release in favor of the SavedModel format. Meanwhile, the HDF5 model is saved as W&B files and the SavedModel as W&B Artifacts.
101/242 [===========>..................] - ETA: 24:29:16 - loss: 0.1899 - psnr: 61.9955WARNING:tensorflow:Can save best model only with val_psnr available, skipping.

103/242 [===========>..................] - ETA: 23:42:13 - loss: 0.1905 - psnr: 61.9609WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
104/242 [===========>..................] - ETA: 23:19:22 - loss: 0.1912 - psnr: 61.9298WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
104/242 [===========>..................] - ETA: 23:19:22 - loss: 0.1912 - psnr: 61.9298WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
105/242 [============>.................] - ETA: 22:57:28 - loss: 0.1916 - psnr: 61.9069WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
105/242 [============>.................] - ETA: 22:57:28 - loss: 0.1916 - psnr: 61.9069WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
106/242 [============>.................] - ETA: 22:36:26 - loss: 0.1918 - psnr: 61.8921WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
106/242 [============>.................] - ETA: 22:36:26 - loss: 0.1918 - psnr: 61.8921WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
107/242 [============>.................] - ETA: 22:15:40 - loss: 0.1926 - psnr: 61.8582WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
108/242 [============>.................] - ETA: 21:55:04 - loss: 0.1931 - psnr: 61.8361WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
109/242 [============>.................] - ETA: 21:34:15 - loss: 0.1946 - psnr: 61.7850WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
109/242 [============>.................] - ETA: 21:34:15 - loss: 0.1946 - psnr: 61.7850WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
110/242 [============>.................] - ETA: 21:15:48 - loss: 0.1944 - psnr: 61.7925WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
110/242 [============>.................] - ETA: 21:15:48 - loss: 0.1944 - psnr: 61.7925WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
111/242 [============>.................] - ETA: 20:56:36 - loss: 0.1950 - psnr: 61.7621WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
112/242 [============>.................] - ETA: 20:39:01 - loss: 0.1960 - psnr: 61.7338WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
113/242 [=============>................] - ETA: 20:19:34 - loss: 0.1965 - psnr: 61.7093WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
113/242 [=============>................] - ETA: 20:19:34 - loss: 0.1965 - psnr: 61.7093WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
115/242 [=============>................] - ETA: 19:41:42 - loss: 0.1963 - psnr: 61.7068WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
115/242 [=============>................] - ETA: 19:41:42 - loss: 0.1963 - psnr: 61.7068WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
116/242 [=============>................] - ETA: 19:23:21 - loss: 0.1964 - psnr: 61.6953WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
116/242 [=============>................] - ETA: 19:23:21 - loss: 0.1964 - psnr: 61.6953WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
117/242 [=============>................] - ETA: 19:05:22 - loss: 0.1960 - psnr: 61.7120WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
